SL NO,Labs,District
1,"DDRC SRL Diagnostics Pvt Ltd, Panampilly Nagar, Ernakulam",Ernakulam
2,"Medivision Scan & Diagnostic Research Centre Pvt Ltd, Sreekandath Road, Kochi",Ernakulam
3,"Neuberg Diagnostics Private Limited, Thombra Arcade, Ernakulam",Ernakulam
4,"Lab Services of Amrita Institute of Medical Sciences & Research Centre, AIMSPonekkara, Kochi",Ernakulam
5,"Amrita Institute of Medical Science, Kochi",Ernakulam
6,"Aster Medcity, Aster DM Healthcare Ltd, Kutty Sahib Road, Kothad, Cochin",Ernakulam
7,"Rajagiri Hospital Laboratory Services, Rajagiri Hospital, Chunangamvely, Aluva",Ernakulam
8,"Lakeshore Hospital & Research Centre Ltd, NH-66, Bypass Ernakulam",Ernakulam
9,"Lal Path Labs, Ernakulam",Ernakulam
10,"El Lab Metropolis, North Paramara Road, Opp Town Hall, Cochin (P)",Ernakulam
11,"Lisie Hospital, a unit of Lisie Medical Institution, Kaloor, Kochi (P)",Ernakulam
12,"Lourdes Hospital, Ernakulam",Ernakulam
13,"Lakshmi Hospital, Diwans Road, Ernakulam",Ernakulam
14,ASTER KOCHI,Ernakulam
15,"Lakeshore Hospital, Ernakulam",Ernakulam
16,AIMS Kochi,Ernakulam
17,Rajagiri Hospital Aluva,Ernakulam
18,"DDRC, Kochi",Ernakulam
19,"Vijaya Kumara Menon Hospital, Ernakulam",Ernakulam
20,"Medical Trust Hospital, Ernakulam",Ernakulam
21,"Polakulath Narayanan Renai Medicity, Kochi",Ernakulam
22,"CIMAR Cochin Hospitals, Ernakulam",Ernakulam
23,Sree Sudheendra Medical Mission Ernakulam,Ernakulam
24,"Alpha ENT head&neck Research Institute, Ernakulam",Ernakulam
25,Mar Baselios Medical Mission Hospital Kothamangalam,Ernakulam
26,"Little Flower Hospital & Research Centre, Angamaly",Ernakulam
27,"St Joseph Hospital, Dharmagiri, Ernakulam",Ernakulam
28,"Sabine Hospital & Research Centre Pvt Ltd, Pezhakkappilly P.O, Muvattupuzha, Ernakulam",Ernakulam
29,"Microlab Speciality Health Care Services, Kozhenchery",Ernakulam
30,"E.S.I.C. Hospital, Udyogmandal, Ernakulam",Ernakulam
31,"Samaritan Hospital, Pazhanganad, Ernakulam",Ernakulam
32,"Sanjoe Hospital, A M Road Perumbavoor, Ernakulam District",Ernakulam
33,"St Joseph hospital trust, Manjummel, Ernakulam",Ernakulam
34,"Lisie Hospital, Ernakulam",Ernakulam
35,"Carmel Hospital, Asokapuram, Aluva",Ernakulam
36,P S Mission Hospital Maradu,Ernakulam
37,"MAGJ, Hospital, Mookkannoor, Angamaly",Ernakulam
38,"Sunrise Hospital,Seaport-Airport Road, Mavelipuram, Kakkanad",Ernakulam
39,"Kinder Multispeciality Hospital,Kochi",Ernakulam
40,"Indira Gandhi Co-operative Hospital ,Kadavanthra, Ernakulam",Ernakulam
41,"Nirmala Medical Centre, Muvattupuzha",Ernakulam
42,"Specialists Hospital, K.C.M Mather road, Ernakulam",Ernakulam
43,"Neuberg Diagnostics, Kaloor, Kochi",Ernakulam
44,"Vivid Diagnostic Centre, Chalikkavattom, Vytila",Ernakulam
45,"Sree Narayana Institute of medical sciences,Chalakka, Ekm",Ernakulam
46,"Devi Hospital Pvt Ltd,North Fort Gate,Tripunithura - 682301",Ernakulam
47,"Sreekantapuram Hospital, Mavelikkara",Ernakulam
48,"V S M Hospital, Thattarambalam, Mavelikkara",Ernakulam
49,"M A J Hospital, Edappally, Kochi",Ernakulam
